country,cases,deaths
Algeria,1572,205
Angola,19,2
Benin,26,1
Botswana,7,1
Burkina_Faso,414,23
Burundi,3,0
Cameroon,730,10
Cape_Verde,7,1
Central_African_Republic,10,0
Chad,10,0
Congo,60,5
Cote_dIvoire,384,3
Democratic_Republic_of_the_Congo,183,20
Djibouti,135,0
Egypt,1560,103
Equatorial_Guinea,18,0
Eritrea,33,0
Eswatini,12,0
Ethiopia,55,2
Gabon,33,1
Gambia,4,1
Ghana,313,6
Guinea,164,0
Guinea_Bissau,33,0
Kenya,179,6
Liberia,31,4
Libya,21,1
Madagascar,93,0
Malawi,8,1
Mali,59,7
Mauritania,6,1
Mauritius,273,7
Morocco,1275,93
Mozambique,17,0
Namibia,16,0
Niger,342,11
Nigeria,276,6
Rwanda,110,0
Sao_Tome_and_Principe,4,0
Senegal,244,2
Seychelles,11,0
Sierra_Leone,7,0
Somalia,8,0
South_Africa,1845,18
South_Sudan,2,0
Sudan,14,2
Togo,70,3
Tunisia,623,23
Uganda,53,0
United_Republic_of_Tanzania,25,1
Zambia,39,1
Zimbabwe,11,2
Anguilla,3,0
Antigua_and_Barbuda,15,0
Argentina,1795,65
Aruba,77,0
Bahamas,40,7
Barbados,63,3
Belize,8,1
Bermuda,39,3
Bolivia,264,18
Bonaire,SaintEustatiusandSaba,2,0
Brazil,15927,800
British_Virgin_Islands,3,0
Canada,19274,435
Cayman_Islands,45,1
Chile,5546,48
Colombia,2054,55
Costa_Rica,502,2
Cuba,457,12
Curaçao,14,1
Dominica,15,0
Dominican_Republic,2111,108
Ecuador,4450,242
El_Salvador,103,5
Falkland_Islands_(Malvinas),5,0
Greenland,11,0
Grenada,12,0
Guatemala,87,3
Guyana,37,6
Haiti,27,1
Honduras,343,23
Jamaica,63,4
Mexico,3181,174
Montserrat,9,0
Nicaragua,6,1
Panama,2528,63
Paraguay,124,5
Peru,4342,121
Puerto_Rico,620,24
Saint_Kitts_and_Nevis,11,0
Saint_Lucia,14,0
Saint_Vincent_and_the_Grenadines,8,0
Sint_Maarten,40,8
Suriname,10,1
Trinidad_and_Tobago,107,8
Turks_and_Caicos_islands,8,1
United_States_of_America,432132,14817
United_States_Virgin_Islands,45,1
Uruguay,456,7
Venezuela,167,8
Afghanistan,423,14
Bahrain,823,5
Bangladesh,218,20
Bhutan,5,0
Brunei_Darussalam,135,1
Cambodia,118,0
China,82870,3339
India,5734,166
Indonesia,2956,240
Iran,64586,3993
Iraq,1202,69
Israel,9404,71
Japan,4257,81
Jordan,358,6
Kazakhstan,759,7
Kuwait,855,1
Kyrgyzstan,280,4
Laos,15,0
Lebanon,575,19
Malaysia,4119,65
Maldives,19,0
Mongolia,16,0
Myanmar,22,3
Nepal,9,0
Oman,419,2
Pakistan,4322,63
Palestine,263,1
Philippines,3870,182
Qatar,2210,6
Saudi_Arabia,2932,41
Singapore,1623,6
South_Korea,10423,204
Sri_Lanka,189,7
Syria,19,2
Taiwan,379,5
Thailand,2423,32
Timor_Leste,1,0
Turkey,38226,812
United_Arab_Emirates,2659,12
Uzbekistan,555,3
Vietnam,251,0
Albania,400,22
Andorra,564,23
Armenia,881,9
Austria,12969,273
Azerbaijan,822,8
Belarus,1066,13
Belgium,23403,2240
Bosnia_and_Herzegovina,816,35
Bulgaria,593,24
Croatia,1343,19
Cyprus,526,14
Czechia,5312,99
Denmark,5402,218
Estonia,1185,24
Faroe_Islands,184,0
Finland,2487,40
France,82048,10869
Georgia,211,3
Germany,108202,2107
Gibraltar,120,0
Greece,1884,83
Guernsey,181,5
Holy_See,8,0
Hungary,980,66
Iceland,1616,6
Ireland,6224,235
Isle_of_Man,158,1
Italy,139422,17669
Jersey,170,3
Kosovo,184,5
Latvia,577,2
Liechtenstein,79,1
Lithuania,912,15
Luxembourg,3034,46
Malta,299,1
Moldova,1174,27
Monaco,81,2
Montenegro,249,2
Netherlands,20549,2248
North_Macedonia,617,30
Norway,6010,80
Poland,5205,159
Portugal,13141,380
Romania,4761,209
Russia,8672,63
San_Marino,308,34
Serbia,2666,65
Slovakia,682,2
Slovenia,1091,40
Spain,146690,14555
Sweden,8419,687
Switzerland,22710,705
Ukraine,1668,52
United_Kingdom,60733,7097
Australia,6052,50
Fiji,15,0
French_Polynesia,51,0
Guam,125,4
New_Caledonia,18,0
New_Zealand,992,1
Northern_Mariana_Islands,11,2
Papua_New_Guinea,2,0
